TransactionAmount,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,PreviousTransactionDate,Target
14.089999999999975,81.0,1.0,5112.21,2023-04-11 16:29:14,Debit,San Diego,ATM,Sudah Lansia,Doctor,2024-11-04 08:08:08,0
376.24,141.0,1.0,13758.91,2023-06-27 16:44:19,Debit,Houston,ATM,Sudah Lansia,Doctor,2024-11-04 08:09:35,2
126.29000000000002,56.0,1.0,1122.35,2023-07-10 18:16:08,Debit,Mesa,Online,Anak Muda,Student,2024-11-04 08:07:04,0
184.5,25.0,1.0,8569.06,2023-05-05 16:32:11,Debit,Raleigh,Online,Orang Dewasa,Student,2024-11-04 08:09:06,0
92.15,172.0,1.0,781.6800000000003,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,Anak Muda,Student,2024-11-04 08:06:36,2
7.079999999999984,139.0,1.0,13316.71,2023-02-15 16:36:48,Credit,Seattle,ATM,Orang Dewasa,Doctor,2024-11-04 08:10:09,2
171.42,291.0,1.0,2796.24,2023-05-08 17:47:59,Credit,Indianapolis,Branch,Sudah Lansia,Retired,2024-11-04 08:10:55,2
106.23000000000002,86.0,1.0,9095.14,2023-03-21 16:59:46,Credit,Detroit,Branch,Orang Tua,Engineer,2024-11-04 08:11:14,0
815.96,120.0,1.0,1021.8800000000006,2023-03-31 16:06:57,Debit,Nashville,ATM,Orang Tua,Doctor,2024-11-04 08:06:32,1
17.779999999999973,59.0,1.0,7599.52,2023-03-14 16:46:10,Credit,Albuquerque,Online,Orang Tua,Engineer,2024-11-04 08:06:45,0
190.02,173.0,1.0,1528.81,2023-02-06 17:30:00,Debit,Memphis,Online,Anak Muda,Student,2024-11-04 08:07:12,2
494.52,111.0,1.0,1620.02,2023-06-07 17:21:28,Credit,Mesa,Branch,Anak Muda,Student,2024-11-04 08:08:38,1
781.76,123.0,1.0,189.6899999999996,2023-11-20 16:39:15,Debit,Memphis,ATM,Orang Dewasa,Student,2024-11-04 08:07:06,1
166.99,134.0,1.0,299.9300000000003,2023-02-13 16:53:57,Debit,Louisville,Online,Anak Muda,Student,2024-11-04 08:10:09,2
465.45,129.0,1.0,3465.54,2023-12-12 16:23:31,Debit,Denver,ATM,Orang Dewasa,Engineer,2024-11-04 08:12:19,1
555.8,158.0,1.0,1131.2600000000002,2023-10-30 16:52:49,Credit,Austin,Branch,Anak Muda,Student,2024-11-04 08:07:35,1
492.93,234.0,1.0,5109.97,2023-12-14 18:32:14,Debit,Columbus,Online,Orang Dewasa,Engineer,2024-11-04 08:11:51,2
18.680000000000007,106.0,1.0,7948.37,2023-02-21 16:56:50,Credit,Albuquerque,Branch,Orang Tua,Retired,2024-11-04 08:12:01,0
71.48000000000005,169.0,1.0,6568.59,2023-06-08 18:18:50,Credit,Columbus,Online,Anak Muda,Student,2024-11-04 08:09:20,2
59.31999999999999,38.0,1.0,5750.89,2023-02-28 16:36:58,Debit,Los Angeles,Branch,Sudah Lansia,Retired,2024-11-04 08:09:24,0
85.76999999999995,93.0,1.0,9146.19,2023-08-11 18:31:31,Debit,Las Vegas,Branch,Orang Dewasa,Doctor,2024-11-04 08:08:13,0
52.19999999999999,120.0,1.0,8974.93,2023-06-06 18:54:15,Debit,Atlanta,Online,Orang Dewasa,Engineer,2024-11-04 08:07:01,0
345.84,142.0,3.0,1402.5,2023-05-02 18:25:46,Debit,Fort Worth,Online,Anak Muda,Student,2024-11-04 08:07:04,2
145.54,96.0,1.0,1930.96,2023-03-02 16:43:56,Debit,Raleigh,Online,Anak Muda,Student,2024-11-04 08:07:09,0
7.490000000000009,276.0,1.0,3634.67,2023-10-20 17:53:13,Credit,Houston,Online,Sudah Lansia,Retired,2024-11-04 08:09:44,2
246.93,158.0,5.0,673.3500000000004,2023-04-17 16:37:01,Debit,Miami,ATM,Anak Muda,Student,2024-11-04 08:11:38,2
40.31999999999999,95.0,1.0,2686.52,2023-03-29 16:42:38,Debit,Milwaukee,Branch,Orang Dewasa,Engineer,2024-11-04 08:11:59,0
127.44999999999999,197.0,1.0,1772.06,2023-01-24 16:18:32,Debit,Las Vegas,Online,Orang Tua,Doctor,2024-11-04 08:11:22,2
56.170000000000016,283.0,1.0,1351.69,2023-09-20 16:55:42,Debit,Detroit,Branch,Orang Dewasa,Student,2024-11-04 08:08:30,2
28.310000000000002,20.0,1.0,8334.47,2023-07-17 17:49:22,Credit,Miami,Online,Orang Tua,Doctor,2024-11-04 08:09:17,0
59.12000000000003,257.0,1.0,9823.64,2023-02-06 16:24:24,Debit,Baltimore,ATM,Orang Dewasa,Doctor,2024-11-04 08:06:58,2
396.45,168.0,3.0,9690.15,2023-09-25 16:26:00,Debit,New York,ATM,Orang Tua,Engineer,2024-11-04 08:11:13,2
877.81,150.0,1.0,399.0,2023-03-13 17:23:24,Debit,Los Angeles,Online,Anak Muda,Student,2024-11-04 08:07:50,1
255.26,50.0,1.0,14815.87,2023-10-27 16:42:49,Credit,San Francisco,Branch,Orang Tua,Doctor,2024-11-04 08:10:51,0
124.75999999999999,45.0,1.0,5764.72,2023-10-16 16:32:56,Debit,Seattle,Branch,Orang Tua,Engineer,2024-11-04 08:06:23,0
78.13,145.0,1.0,900.6099999999997,2023-11-21 16:58:44,Debit,Milwaukee,Branch,Orang Dewasa,Student,2024-11-04 08:12:18,2
795.31,90.0,2.0,7914.88,2023-10-12 17:07:40,Debit,Mesa,ATM,Sudah Lansia,Doctor,2024-11-04 08:11:17,1
335.63,216.0,1.0,1019.3899999999999,2023-01-24 17:17:20,Debit,Oklahoma City,Online,Orang Tua,Retired,2024-11-04 08:07:32,2
328.47,119.0,1.0,4323.66,2023-07-31 18:39:50,Debit,San Antonio,ATM,Sudah Lansia,Retired,2024-11-04 08:07:31,0
34.01999999999998,19.0,1.0,14214.48,2023-01-09 16:13:21,Debit,Philadelphia,Online,Orang Dewasa,Doctor,2024-11-04 08:11:45,0
241.42,116.0,1.0,13357.02,2023-04-20 18:57:43,Credit,Charlotte,Online,Orang Tua,Doctor,2024-11-04 08:09:03,0
55.31999999999999,117.0,1.0,241.78999999999996,2023-04-12 16:03:37,Debit,Tucson,ATM,Anak Muda,Student,2024-11-04 08:08:03,0
304.31,33.0,1.0,868.6099999999997,2023-07-26 16:52:28,Debit,Louisville,Branch,Orang Dewasa,Student,2024-11-04 08:09:53,0
435.27,90.0,1.0,4673.28,2023-10-04 17:49:29,Debit,Chicago,Branch,Sudah Lansia,Retired,2024-11-04 08:11:12,0
164.49,75.0,1.0,1509.27,2023-12-13 16:01:38,Debit,Baltimore,Branch,Orang Dewasa,Student,2024-11-04 08:10:33,0
510.24,105.0,1.0,781.6999999999998,2023-10-09 16:29:40,Debit,Oklahoma City,Online,Anak Muda,Student,2024-11-04 08:11:35,1
626.9,138.0,1.0,265.5100000000002,2023-11-27 16:45:57,Debit,Denver,Online,Orang Dewasa,Student,2024-11-04 08:07:24,1
22.00999999999999,175.0,1.0,1335.0900000000001,2023-03-27 16:45:18,Credit,Sacramento,Online,Orang Tua,Engineer,2024-11-04 08:06:31,2
425.34,121.0,1.0,3907.54,2023-02-13 16:59:39,Credit,Kansas City,Online,Sudah Lansia,Retired,2024-11-04 08:07:07,0
424.56,264.0,1.0,5183.85,2023-02-21 17:45:55,Debit,Omaha,Online,Orang Tua,Engineer,,2
85.43,145.0,1.0,14904.9,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,Sudah Lansia,Doctor,2024-11-04 08:06:45,2
169.5,142.0,1.0,918.8800000000001,2023-09-07 16:51:27,Debit,San Diego,Branch,Orang Dewasa,Student,2024-11-04 08:08:58,2
104.63,90.0,1.0,4477.78,2023-03-29 17:47:16,Debit,Omaha,ATM,Sudah Lansia,Retired,2024-11-04 08:10:42,0
316.95,83.0,1.0,1324.0299999999997,2023-08-04 17:53:40,Debit,Mesa,Branch,Orang Dewasa,Student,2024-11-04 08:09:15,0
60.539999999999964,52.0,1.0,3534.93,2023-12-14 17:52:37,Credit,Columbus,Branch,Orang Tua,Retired,2024-11-04 08:09:57,0
292.56,61.00000000000001,1.0,4638.37,2023-03-03 17:37:41,Credit,Dallas,Branch,Sudah Lansia,Retired,2024-11-04 08:07:49,0
386.52,27.999999999999986,1.0,5630.61,2023-06-09 16:18:15,Debit,Indianapolis,Branch,Orang Tua,Engineer,2024-11-04 08:07:09,0
112.07,51.0,1.0,930.3000000000002,2023-10-02 16:35:22,Debit,Kansas City,Branch,Anak Muda,Student,2024-11-04 08:11:37,0
568.52,152.0,1.0,5499.91,2023-10-06 18:44:37,Debit,Indianapolis,ATM,Orang Tua,Engineer,,1
263.99,227.0,2.0,4175.02,2023-05-16 16:07:30,Debit,Dallas,Branch,Sudah Lansia,Retired,2024-11-04 08:11:03,2
349.64,226.0,1.0,6651.62,2023-11-07 16:48:23,Debit,Las Vegas,Online,Orang Tua,Engineer,2024-11-04 08:08:09,2
601.4,104.0,1.0,8458.29,2023-05-30 17:43:25,Credit,Philadelphia,Branch,Orang Tua,Engineer,2024-11-04 08:08:01,1
5.769999999999982,124.0,1.0,13988.12,2023-11-02 16:01:40,Debit,Charlotte,Online,Orang Tua,Doctor,2024-11-04 08:11:32,0
201.33,186.0,1.0,2585.07,2023-03-29 17:00:31,Credit,Nashville,Branch,Orang Tua,Engineer,2024-11-04 08:11:41,2
298.42,225.0,1.0,3014.75,2023-04-25 16:11:24,Debit,Indianapolis,Branch,Orang Tua,Retired,2024-11-04 08:10:12,2
521.06,128.0,1.0,1951.42,2023-04-18 18:40:47,Debit,Albuquerque,Branch,Orang Dewasa,Student,2024-11-04 08:12:10,1
117.28,16.0,1.0,3665.77,2023-02-09 16:34:53,Credit,Austin,Online,Sudah Lansia,Engineer,2024-11-04 08:07:11,0
189.12,103.0,1.0,977.0100000000002,2023-11-13 16:42:28,Credit,Indianapolis,,Orang Dewasa,Engineer,2024-11-04 08:08:42,0
133.55000000000004,220.0,1.0,3846.28,2023-07-18 16:12:00,Debit,Atlanta,ATM,Orang Tua,Engineer,2024-11-04 08:10:18,2
143.21,135.0,1.0,6374.82,2023-01-13 17:00:16,Debit,Dallas,Online,Orang Dewasa,Engineer,2024-11-04 08:09:26,2
24.769999999999982,55.0,1.0,5866.01,2023-07-04 18:20:33,Debit,Boston,ATM,Sudah Lansia,Retired,2024-11-04 08:12:15,0
233.92,280.0,1.0,6537.62,2023-10-20 16:54:28,Credit,Jacksonville,Online,Orang Dewasa,Student,2024-11-04 08:08:45,2
1212.51,24.0,1.0,605.9499999999998,2023-10-04 16:36:29,Debit,Indianapolis,Branch,Anak Muda,Student,2024-11-04 08:06:51,1
232.12,51.0,1.0,6689.87,2023-12-28 17:31:03,Debit,,ATM,Orang Dewasa,Engineer,2024-11-04 08:09:17,0
91.53,69.0,1.0,14676.05,2023-03-13 16:32:12,Debit,Milwaukee,Branch,Orang Tua,Doctor,2024-11-04 08:11:36,0
120.29000000000002,77.0,1.0,1362.3900000000003,2023-12-18 18:46:27,Debit,Miami,Branch,Anak Muda,Student,2024-11-04 08:06:50,0
174.25,67.0,1.0,10528.34,2023-07-17 18:54:31,Debit,Seattle,Online,Orang Tua,Doctor,2024-11-04 08:10:29,0
183.71,102.0,1.0,552.5200000000004,2023-06-19 18:22:10,Debit,Denver,ATM,Orang Dewasa,Engineer,2024-11-04 08:09:51,0
345.39,80.0,1.0,6451.96,,Credit,Phoenix,,Orang Tua,Engineer,2024-11-04 08:08:16,0
922.55,87.0,1.0,4715.84,2023-01-23 16:32:48,Debit,Detroit,ATM,Sudah Lansia,Retired,2024-11-04 08:11:07,1
259.91,170.0,1.0,7176.86,2023-11-06 16:34:10,Debit,Denver,Online,Orang Tua,Doctor,2024-11-04 08:09:38,2
